word,annotation
之,"助词，表示领有、连属关系
助词，表示修饰关系
用在主谓结构之间，使成为句子成分
代词，代替人或事物
代词，这，那
虚用，无所指
往，到"
以,"用，拿，把，将
依然，顺，按照
因为
在，于（指时日）
目的在于
”用法相同
用在方位词前，表明时间、方位、方向或数量的界限
用在动词后，类似词的后缀
太，甚
及，连及"
不,"〈副〉用在动词、形容词和其它副词前面表示否定
〈副〉加在名词或名词性词素前面，构成形容词
〈副〉单用，做否定性的回答
〈方〉用在句末表疑问
用在动补结构中间，表示不可能达到某种结果
不用，不必（用于某些客套话）"
为,"做，行，做事
当做，认做
变成
是
治理，处理
被
表示强调
助词，表示反诘或感叹
替，给
表目的
对，向"
其,"第三人物代词，相当于“他（她）”、“他们（她们）”、“它（它们）”；“他（她）的”、“他们（她们）的”、“它（们）的”
”、“那个”、“那些”
那里面的
连词，相当于“如果”、“假使”
助词，表示揣测、反诘、命令、劝勉
词尾，在副词后"
而,"”，代词，你或你的
表（从……到……）"
人,"由类人猿进化而成的能制造和使用工具进行劳动、并能运用语言进行交际的动物
别人，他人
人的品质、性情、名誉"
曰,"说
），是
叫做
语助词，无实义"
者,"用在名词、动词、形容词、数词、词组后，并与其相结合，指人、指事、指物、指时等
助词，表示语气停顿并构成判断句的句式
这，此（多用在古诗词曲中）"
有,"存在
表示所属
表示发生、出现
表示估量或比较
表示大、多
用在某些动词前面表示客气
”相近
词缀，用在某些朝代名称的前面"
也,"副词，表示同样、并行的意思
在否定句里表示语气的加强
在复句中表转折意
表示容忍或承认某种情况"
年,"地球绕太阳一周的时间
每年的
一年的开始
有关年节的（用品）
时期，时代
收成
岁数
人一生所经年岁的分期
科举时代同年考中者的互称"
大,"”相对
指大小的对比
规模广，程度深，性质重要
”后，表示程度浅或次数少
年长，排行第一
敬辞
时间更远
超过事物一半，不很详细，不很准确"
子,"古代指儿女，现专指儿子
植物的果实、种子
动物的卵
幼小的，小的
小而硬的颗粒状的东西
”相对
对人的称呼
古代对人的尊称；称老师或称有道德、有学问的人
地支的第一位，属鼠
用于计时
封建制度五等爵位的第四等
附加在名词、动词、形容词后，具有名词性（读轻声）
个别量词后缀（读轻声）"
所,"处，地方
机关或其他办事的地方的名称
量词，指房屋
用在动词前，代表接受动作的事物
”字相应，表示被动的意思"
中,"和四方、上下或两端距离同等的地位
在一定范围内，里面
性质或等级在两端之间的
表示动作正在进行
特指“中国”
适于，合于
恰好合上
受到，遭受
科举考试被录取"
事,"自然界和社会中的现象和活动
变故
职业
关系和责任
办法
做，治
服侍"
州,"古代的一种行政区划，所辖地区的大小历代不同（后多用于地名）
中国一种民族自治行政区划"
军,"武装部队
泛指有组织的集体"
王,"古代一国君主的称号，现代有些国家仍用这种称号
中国古代皇帝以下的最高爵位
一族或一类中的首领
大
古代指统治者谓以仁义取得天下"
十,"表示多、久
表示达到顶点"
将,"快要
带领，扶助
拿，持
把
用言语刺激
保养
兽类生子
顺从
又，且
助词，用在动词和“出来”、“起来”、“上去”等中间
刚，刚刚
军衔的一级，在校以上，泛指高级军官
统率，指挥"
无,”相对；不
与,"给
交往，友好
赞助，赞许
〈书〉等待
〈连〉和
〈介〉跟；向
参加"
下,"”相对
等级低的
方面，方位
次序或时间在后的
由高处往低处，降落
使降落
进入
投送
到规定时间结束日常工作或学习
谦辞
颁布
攻克
卸掉
用，投入精力
退让
做出判断
量词，指动作次数
少于
动物生产"
上,"”相对
次序或时间在前的
等级和质量高的
由低处到高处
去，到
向前进
增加
安装，连缀
涂
按规定时间进行或参加某种活动
拧紧发条
登载，记
用在名词后边，表示时间、处所、范围
用在动词后边，表示开始、继续、趋向、完成
达到一定的程度或数量"
自,"本人，己身
从，由
当然
假如"
言,"讲，说
说的话
汉语的字
语助词，无义"
至,"到
极、最"
时,"一切事物不断发展变化所经历的过程
较长的时间
泛指一段时间
现在的，当前的
常常
一年中的一季
现在的记时单位，一昼夜的二十四分之一
某一时刻
不定时，有时候
机会"
使,"用
派，差谴
让，令，叫
假若
奉命办事的人"
一,"纯；专
全；满
相同
另外的
表示动作短暂，或是一次，或具试探性
乃；竞
部分联成整体
或者
初次"
太,"过于
极端，最
高，大
很
身分最高或辈分更高的"
书,"成本的著作
信
文件
写字或写的字
写文章
字体
某些曲艺形式的通称"
帝,"宗教徒或神话中称宇宙的创造者和主宰者
君主"
知,"晓得，明了
使知道
学识，学问
主管
彼此了解
彼此了解、交好的人"
得,"获取，接受
适合
满意
完成，实现
可以，许可
必须，须要
极舒服，极适意
用在动词后表可能
用在动词或形容词后的连接补语，表示效果或程度"
后,"君主；帝王
帝王的正妻
诸侯。《書•舜典》
”相对
”相对
”相对
子孙"
公,"正直无私，为大家利益
共同的，大家承认的
国家，社会，大众
让大家知道
封建制度最高爵位
敬辞，尊称男子
雄性的
对长辈和年老人的称呼"
可,"允许
能够
值得，认为
适合
尽，满
大约
表示强调
用在反问句里加强反问语气
用在疑问句里加强疑问语气"
士,"古代统治阶级中次于卿大夫的一个阶层
旧时指读书人
未婚的男子，泛指男子
对人的美称
称某些专业人员"
是,"表示解释或分类
表示存在
表示承认所说的，再转入正意，含有“虽然”的意思
表示适合
表示任何
用于问句
加重语气，有“的确”、“实在”的意思
”相对
认为对
表示应承或同意（单说一个“是”字）
这，此
助词，把行为对象提前表示只这样做"
三,"”代）
表示多次或多数"
臣,"君主时代的官吏，有时亦包括百姓
官吏对君主的自称
古代指男性奴隶"
二,"数名
双，比
两样，别的"
天,"在地面以上的高空
在上面
气候
季节，时节
日，一昼夜，或专指昼间
指神仙或他们所住的地方
自然界
）〕古代用来记日或年的字，有“天干”和“地支”两类，天干共十字
自然的、生成的"
兵,"武器
战士，军队
与军事或战争有关事物的统称"
行,"行列
兄弟姐妹的次弟；排行
量词。用于成行的东西
某些营业所
行业
用长的针脚成行地连缀
走
出外时用的
流通，传递
从事
流动性的，临时性的
足以表示品质的举止行动
实际地做
可以
能干
将要
古代指物质的基本元素
古诗的一种体裁
汉字字体的一种"
日,"离地球最近的恒星（亦称“太阳”）
”相对
天，一昼夜
某一天
时候
每天，一天一天地"
乃,"才
是，为
竟
于是，就
你，你的"
相,"交互，行为动作由双方来
动作由一方来而有一定对象的
亲自看（是否中意）
容貌，样子
物体的外观
察看，判断
辅助，亦指辅佐的人，古代特指最高的官
同一物质的某种物理、化学状态"
出,"从里面到外面
往外拿，支付
离开
产生，生长
发生
显露
超过
来到
引文、典故来源于某处
显得量多
放在动词后，表示趋向或效果"
文,"事物错综所造成的纹理或形象
刺画花纹
记录语言的符号
用文字记下来以及与之有关的
人类劳动成果的总结
自然界的某些现象
旧时指礼节仪式
”相对
温和
指非军事的
指以古汉语为基础的书面语
专指社会科学
掩饰
量词，指旧时小铜钱"
史,"自然界和人类社会的发展过程，亦指记述、研究这些的文字和学科
古代掌管记载史事的官
古代官职"
官,"在政府担任职务的人
属于国家的或公家的
生物体上有特定机能的部分"
国,"有土地、人民、主权的政体（古代指诸侯所受封的地域）
特指中国的"
及,"从后头跟上
达到
趁着，乘
连词，和，跟"
见,"看到
接触，遇到
看得出，显得出
（文字等）出现在某处，可参考
会晤
对事物观察、认识、理解
助词，表示被动或对我如何"
然,"对，是
以为对，答应，信守
这样，如此
用于词尾，表示状态"
此,"”相对
这里，这儿"
能,"才干，本事
有才干的
胜任，善于
会（表示可能性）
应该
物理学名词，“能量”的简称
和睦"
进,"”相对
入，往里去
吃，喝
收入或买入
奉上，呈上"
从,"跟随
依顺
采取，按照
从事；参加
由，自
跟随的人
宗族中次于至亲的亲属
次要的"
皆,全，都
何,副词，多么
故,"意外的事情
原因
有心，存心
老，旧，过去的，原来的
朋友，友情
死亡（指人）
所以，因此"
未,"不，不曾，没有
用于记时
放在句末，表示疑问"
宗,"家族的上辈，民族的祖先
家族
派别
主要的目的和意图
尊奉
为众人所师法的人物
量词，指件或批"
入,"进，由外到内
适合，恰好合适"
数,"表示、划分或计算出来的量
几，几个
技艺，学术
命运，天命
一个一个地计算
比较起来突出
责备，列举过错
谈论，述说
屡次"
诸,"众，许多
“之于”或“之乎”的合音
”
”
语助，无实在意义"
如,"依照顺从
像，相似，同什么一样
比得上，及
到，往
假若，假设
奈，怎么
与，和
或者
用在形容词后，表示动作或事物的状态
表示举例
应当"
安,"平静，稳定
使平静，使安定（多指心情）
对生活工作等感觉满足合适
没有危险，不受威胁
装设
存着，怀着（某种念头，多指不好的）
疑问词，哪里"
南,”相对
家,"共同生活的眷属和他们所住的地方
家庭所在的地方
居住
对人称自己的尊长、亲属
家里养的，不是野生的
经营某种行业的人家或有某种身份的人家
掌握某种专门学识或有丰富实践经验及从事某种专门活动的人
学术流派
量词，用于计算家庭或企业
词尾，指一类的人
用在男人的名字或排行后面，指他的妻
”"
令,"上级对下级的指示
古代官名
使，使得
时节
美好，善
敬辞，用于对方的亲属或有关系的人
），散曲中不成套的曲（多用于词调、曲调名）"
复,"回去，返
回答，回报
还原，使如前
副词，又，再
重复，重叠
许多的，不是单一的"
欲,"想得到某种东西或想达到某种目的的要求
想要，希望
需要
将要"
民,"以劳动群众为主体的社会基本成员
指人或人群
劳动大众的，非官方的
某族的人
从事不同职业的人
非军事的"
祖,"父亲的上一辈
称与祖父同辈的人
先代
初，开始
某种事业或派别的创始人
出行时祭路神，引申为送行"
先,"”相对
家族或民族的较早的一代或几代
对死去的人的尊称"
则,"模范
规程，制度
效法
表示因果关系，就，便
表示转折，却
表示肯定判断，乃，是
用在一、二、三……等数字后，列举原因或理由
”相近（中国宋、元、明代小说、戏剧里常用）
量词，指成文的条数"
请,"求
敬辞，用于希望对方做某事
延聘、邀、约人来
谒见、会见"
在,"存，居
存留于某地点
关于某方面，指出着重点
表示动作的进行
介词，表示事情的时间、地点、情形、范围等
”连用，表示强调"
平,"不倾斜，无凹凸，像静止的水面一样
均等
与别的东西高度相同，不相上下
安定、安静
治理，镇压
抑止（怒气）
和好
一般的，普通的
往常，一向
汉语四声之一"
又,"表示重复或继续，指相同的
表示加重语气、更进一层
表示几种情况或几种性质同时存在
再加上，还有
表示转折"
道,"路，方向，途径
指法则、规律
学术或宗教的思想体系
方法，办法，技术
指“道教”（中国主要宗教之一，创立于东汉）
指某些反动迷信组织
说，讲
用语言表示情意
线条
量词"
山,"地面形成的高耸的部分
形状像山的
形容大声"
城,"围绕都市的高墙
都市"
世,"一个时代，有时特指三十年
一辈一辈相传的
人间，以与天上相区别
自然界和人类社会一切事物的总和；全地球、人间或宇宙；宇宙的一部分"
部,"全体中的一份
机关企业按业务范围分设的单位
具有统属关系
安置安排
量词"
守,"保持，卫护
看管
在一个地方不动
遵照
维持原状，不想改变
呆在一起
节操
靠近，依傍
古代官名"
今,◎ 现在
遂,"顺，如意
成功，实现
于是，就
通达
进，荐"
吾,文言代词，我，我的
闻,"听见
听见的事情，消息
出名，有名望
名声
用鼻子嗅气味"
明,"”相对
清楚
懂得，了解
公开，不隐蔽
能够看清事物
睿智
视觉，眼力
神灵，泛指祭神供神之物
次（专指日或年）
中国朝代名"
君,"封建时代指帝王、诸侯等
古代的封号
对对方的尊称"
主,"权力或财物的所有者，家庭的首脑
旧时臣子称君王，下级称上级，仆人称家主
对事物的意见或认为应当如何处理，决定
对事物有决定权力
最重要的，最基本的
预示
旧时为死人立的牌位"
用,"使人或物发挥其功能
可供使用的
进饭食的婉辞
花费的钱财
物质使用的效果
需要（多为否定）
因此"
卒,"兵
旧称差役
死亡
完毕，终了
终于"
元,"头、首、始、大
基本
未知数
中国朝代名"
死,"”相对
不顾生命
固执，坚持到底
无知觉
不活动，不灵活
不通达
过时，失去作用
极，甚"
五,”代）
余,"文言代词，我
剩下来的，多出来的
十、百、千等整数或名数后的零数
后"
即,"就是
当时或当地
就，便
假如，倘若
靠近
到，开始从事"
百,"”代）
喻很多"
朝,"早晨
日，天
向着，对着
封建时代臣见君；亦指宗教徒的参拜
”相对
称一姓帝王世代相继的统治时代；亦称某一个皇帝统治的时期"
命,"动植物的生活能力
迷信认为生来就注定的贫富、寿数等
上级对下级的指示
给予（名称等）
指派，使用"
都,"大都市
一国的最高行政机关所在的地方，京城
美好
总
居
全，完全
表示语气的加重"
学,"效法，钻研知识，获得知识，读书
传授知识的地方
掌握的知识
分门别类的有系统的知识"
当,"充任，担任
掌管，主持
正在那时候或那地方
面对着
相称，相配
应该
抵敌
判罪，意为处以相当的刑罚
顶端，头
合宜
抵得上，等于
姑且作为
认为
在同一时间
吃亏，受骗
抵押
后缀。龙潜庵 《宋元语词集释•题记》"
多,"”相对
数目在二以上
有余，比一定的数目大
过分，不必要的
相差的程度大
表示惊异、赞叹
表示某种程度
表疑问"
名,"人或事物的称谓
起名字
做某事时用来作依据的称号
叫出，说出
声誉
有声誉的，大家都知道的
占有
量词，用于人"
师,"教人的人
擅长某种技术的人
效法
榜样
指由师徒或师生关系产生的
对和尚或道士的尊称
军队
军队的编制单位，团或旅的上一级
一国的首都"
谓,"告诉
称呼，叫作
说"
东,"”相对
主人（古代主位在东，宾位在西）
请客出钱的人"
诏,"告诉，告诫
帝王所发的文书命令"
归,"返回，回到本处
还给
趋向，去往
合并，或集中于一类，或集中于一地
由，属于
结局
珠算中一位除数的除法
古代称女子出嫁"
夫,"旧时称成年男子
旧时称服劳役的人
与妻结成配偶者
文言发语词
文言助词
”"
长,"两端的距离
”相对，指空间，亦指时间
优点，专精的技能
对某事做得特别好
生长，成长
增加
排行第一的
辈分高或年纪大
领导人；负责人"
高,"”相对
高度
等级在上的
在一般标准或平均程度之上
声音响亮
敬辞，称别人的事物
热烈、盛大
显贵，道德水平高
宗族中最在上之称
酸根或化合物中比标准酸根多含一个氧原子的"
生,"一切可以发育的物体在一定条件下具有了最初的体积和重量，并能发展长大
造出
活的，有活力的
有生命的东西的简称
生活，维持生活的
整个生活阶段
发出，起动
使燃料燃烧起来
植物果实不成熟
未经烧煮或未烧煮熟的
不熟悉的，不常见的
不熟练的
硬
甚，深
正在学习的人
有学问或有专业知识的人
传统戏剧里扮演男子的角色
词尾"
方,"数学上指某数自乘的积
人的品行端正
一边或一面
地区，地域
办法，做法，技巧
种，类
为治疗某种疾病而组合起来的若干种药物的名称、剂量和用法
违背
正在，正当
才，刚刚
量词，多指一立方米
量词，用于方形的东西"
亦,"副词，也，表示同样、也是
又
不过，只是
表示加强或委婉的语气"
吏,"旧时代的大小官员
旧指小公务员"
尚,"），仍然
尊崇，注重
社会上共同遵从的风俗、习惯等
矜夸，自负
古，久远
庶几，差不多"
非,"不，不是
不对，过失
”字）
责怪，反对
指“阿非利加洲”（位于东半球的西南部。简称“非洲”）"
迁,"机关、住所等另换地点
变动，转变
贬谪，放逐
古代称调动官职，一般指升职"
司,"主管，操作
官署名称
视察"
武,"”相对
勇猛，猛烈
半步，泛指脚步"
马,"哺乳动物，颈上有鬃，尾生长毛，四肢强健，善跑，供人骑或拉东西
大"
西,"”相对
事物的样式或方法属于西方的（多指欧美各国）"
四,”代）
居,"住
居住的地方
当，占，处于
安着，怀着
积蓄，储存
停留
平时"
郎,"对年轻男子的称呼
对某种人的称呼
旧时妻称夫或情人
封建时代的官名"
去,"”相对
距离，差别
已过的，特指刚过去的一年
除掉，减掉
扮演戏曲中的角色
用在动词后，表示趋向
用在动词后，表示持续
汉语四声之一"
已,"止，罢了
表示过去
后来，过了一些时间，不多时
太，过"
必,"一定
决定，肯定
固执
果真，假使"
还,"回到原处或恢复原状
偿付
依然，仍然
更加
再，又
尚，勉强过得去
尚且"
阳,"”相对
指“太阳”
山的南面或水的北面（多用于地名）
温暖
外露的，明显的
凸出的
关于活人的
带正电的
男性生殖器"
贼,"偷东西的人，盗匪
对人民有危害的人
害，伤害
邪的，不正派的
狡猾
副词，很"
御,"驾驶车马
封建社会指上级对下级的治理，统治
对帝王所作所为及所用物的敬称
抵挡"
同,"共，在一起（从事）
和，跟"
侍,◎ 伺候，在旁边陪着
初,"开始时，开始的部分
原来的，原来的情况"
河,"水道的通称
特指中国黄河
指“银河系”"
父,"爸爸，母亲的丈夫
对男性长辈的称呼
老年人"
万,"数目，十个一千
喻极多
极，很，绝对"
少,"”相对
缺，不够
不经常
短时间
丢，遗失
轻视
年纪轻或年轻人
古代辅佐长官的副职
次级的"
字,"用来记录语言的符号
文字的不同形式，书法的派别
书法的作品
字的音
合同，契约
旧时称女子出嫁
生子，乳，爱"
正,"”相对
合于法则的
合于道理的
恰好
表示动作在进行中
”相对
纯，不杂
改去偏差或错误
图形的各个边的长度和各个角的大小都相等的
”相对
”相对"
德,"人们共同生活及行为的准则和规范，品行，品质
心意，信念
恩惠"
功,"”相对
成就，成效
物理学上指用力使物体移动的工作，等于力乘移动的距离
本领，能耐"
法,"体现统治阶级的意志，国家制定和颁布的公民必须遵守的行为规则
处理事物的手段
仿效
标准，规范，可仿效的
佛家的道理
道家佛家的所谓拿妖捉怪的技术
指“法国”"
千,"”代）
喻极多"
因,"原故，原由，事物发生前已具备的条件
理由
依，顺着，沿袭"
右,"”相对
地理上指西方
指政治思想上保守或反动的
古代称等级高的
崇尚，重视"
政,"治理国家事务
国家某一部门主管的业务
家庭或集体生活中的事务"
成,"做好，做完
事物发展到一定的形态或状况
变为
可以，能行
称赞人能力强
够，达到一定数量
已定的，定形的
十分之一
平定，讲和"
召,"召唤
召致，引来"
府,"储藏文书或财物的地方
旧时封建贵族和官僚的主宅，泛指一般人的住宅
中国唐代至清代的行政区域名，等级在县和省之间
国家行政机关"
门,"建筑物的出入口，又指安装在出入口能开关的装置
形状或作用像门的东西
途径，诀窍
旧时指封建家族或家族的一支，现亦指一般的家庭
一般事物的分类
生物的分类单位之一，在“界”之下、“纲”之上
宗教的教派或学术思想的派别
量词
事件，多指负面的事件"
既,"动作已经完了
已经
”连用，表示两者并列"
立,"站，引申为竖起来
做出，定出
存在，生存
马上，即刻"
尝,"辨别滋味
试，试探
经历
曾经"
月,"月亮；月球。地球的卫星
按月出现的，每月的
形状像月亮的，圆的
妇女产后一个月以内的时间"
等,"数量、程度相同，或地位一般高
表示数量或程度的级别
种，类
表示同一辈份的多数人
表示列举未尽，或用于列举煞尾
候，待
待到"
举,"向上抬，向上托
动作行为
发起，兴办
提出
推选，推荐
全
古代指科举取士
攻克"
左,"”相对
地理上指东方
指政治思想上进步或超过现实条件许可的过头思想和行动
斜，偏，差错
降低官职"
若,"如果，假如
如，像
你，汝
约计
此，如此
顺从
指“海若”（古代神话中的海神）
指“杜若”（古书上说的一种香草）
”合用
用在形容词或副词后，表示事物的状态"
甚,"很，极
超过
方言，什么
表示进一层的意思"
遣,"派，送，打发
排解，发泄"
议,"意见，言论
讨论，商量
评论是非，多指责备
旧时文体的一种，用以论事说理或陈述意见"
江,"大河的通称
特指中国长江"
起,"由躺而坐或由坐而立等
离开原来的位置
开始
拔出，取出
领取（凭证）
由下向上，由小往大里涨
发生，产生，发动，提出
长出
拟定
建造，建立
群，组，批
量词，指件，宗
自，从
用在动词后，表示动作的趋向
”连用，表示动作开始
”连用，表示胜任；亦表示达到某一种标准"
京,"国都（现特指中国首都北京）
中国少数民族，主要分布于广西壮族自治区"
善,"心地仁爱，品质淳厚
好的行为、品质
高明的，良好的
友好，和好
熟悉
办好，弄好
）于
赞许
好好地
容易，易于"
会,"聚合，合在一起
多数人的集合或组成的团体
城市，通常指行政中心
彼此见面
付钱
理解，领悟，懂
能，善于
机会，时机，事情变化的一个时间
一定，应当
恰好，正好
一小段时间
总计"
外,"”相对
不是自己这方面的
指“外国”
称母亲、姐妹或女儿方面的亲戚
称岳父母
称丈夫
关系疏远的
对正式的而言，指非正式的
传统戏剧角色名"
众,"许多
”相对
许多人"
心,"人和高等动物体内主管血液循环的器官（通称“心脏”）
中央，枢纽，主要的
习惯上指思想的器官和思想情况，感情等"
常,"长久，固定不变
副词，经常，时时（叠），不只一次
普通的，一般的"
乎,"文言助词，表示疑问
文言叹词
”（用在动词或形容词后）
古形容词或副词后缀"
问,"有不知道或不明白的事请人解答
为表关切而询问
审讯，追究
管，干预
向某人或某方面要东西"
意,"心思
心愿，愿望
人或事物流露的情态
料想，猜想"
来,"”相对
从过去到现在
现在以后，未到的时间
用在数词或数量词后面，表示约略估计
做某个动作
用在动词前，表示要做某事
用在动词后，表示做过（一般均可用“来着”）
用在动词后，表示动作的趋向
表示发生
在数词一、二、三后面，表示列举理由
用做诗、歌词中的衬字"
卿,"古代高级官名
古代夫妻互称"
前,"”相对
”相对
顺序在先的
向前行进"
位,"所处的地方
职务的高低
特指君主的地位
一个数中每个数码所占的位置
量词，常用于人，表尊重"
水,"一种无色、无臭、透明的液体
河流
液汁
指附加的费用或额外的收入
指洗的次数"
侯,封建制度五等爵位的第二等
六,”代）
治,"管理，处理
整理
惩办
医疗
消灭农作物的病虫害
从事研究
安定
旧称地方政府所在地"
北,"”相对
打了败仗往回逃"
岁,"年
一年的收成，年景
年龄
星名
指时间，光阴"
称,"量轻重
叫，叫做
名号
说
赞扬
举
◎ 适合"
虽,◎ 连词，把意思推开一层，表示“即使”或是“纵然”的意思，后面多有“可是”、“但是”相应
重,"”相对
程度深
价格高
数量多
主要，要紧
认为重要而认真对待
言行不轻率
再
层"
罪,"犯法的行为
过失，把过失归到某人身上
刑罚
苦难，痛苦"
定,"不动的，不变的
使不变动
平安，平靖（多指局势）
镇静，安稳（多指情绪）
确凿，必然的
预先约妥"
征,"远行
用武力制裁，讨伐
召集
收集
招请，寻求
证明，证验
表露出来的迹象"
礼,"社会生活中，由于道德观念和风俗习惯而形成的仪节
符合统治者整体利益的行为准则
表示尊敬的态度和动作
表示庆贺、友好或敬意所赠之物"
李,落叶小乔木，果实称“李子”，熟时呈黄色或紫红色，可食
